Total KAI,SO,E,R-G
107,53,22,32
107,42,24,41
108,48,13,47
108,51,19,38
108,53,22,33
108,51,17,40
108,46,23,39
108,52,18,38
108,46,20,42
108,52,13,43
108,52,13,43
108,48,17,43
108,52,18,38
108,44,18,47
108,45,25,38
108,44,21,43
109,52,16,42
109,57,17,35
109,41,27,41
109,48,23,39
109,47,17,45
109,48,24,37
109,51,18,40
109,50,16,43
109,47,18,45
109,54,21,34
109,50,26,33
109,42,26,41
109,52,21,36
109,47,19,43
110,44,20,47
110,36,27,49
110,48,22,42
110,50,17,44
110,50,25,35
110,46,22,42
110,51,19,40
110,44,24,42
110,47,27,36
110,49,17,44
110,51,14,45
110,51,15,44
110,48,26,36
111,50,15,46
111,51,16,45
111,48,18,45
111,44,17,50
111,51,15,45
111,52,14,45
111,48,24,41
111,50,19,43
111,55,15,42
111,55,14,42
111,50,21,40
111,51,13,47
111,51,25,35
112,43,21,49
112,49,21,43
112,50,22,40
112,44,30,38
112,52,25,35
112,55,21,36
112,50,20,42
112,46,27,39
112,43,26,44
112,47,23,42
112,52,20,40
112,54,17,41
112,56,26,30
113,45,24,44
113,53,15,45
113,46,20,47
113,52,19,42
113,53,11,49
113,51,18,44
114,55,19,40
114,52,17,45
114,48,22,45
114,51,29,34
114,52,26,37
114,52,28,34
114,51,18,45
115,46,26,44
115,51,22,42
115,50,23,43
115,59,15,41
115,49,22,45
115,45,23,47
115,53,22,40
116,51,19,47
116,54,22,40
116,51,20,45
116,53,13,50
116,55,22,39
116,56,20,40
116,48,22,46
116,56,14,47
116,53,17,46
116,57,18,41
117,52,15,51
117,48,27,42
117,52,26,40
117,49,25,43
117,41,31,46
117,50,22,45
117,54,19,44
117,48,23,46
117,57,19,41
118,48,29,41
118,52,20,46
118,60,12,46
118,48,26,44
118,49,22,47
118,57,15,46
118,57,16,45
118,54,23,41
118,52,20,47
118,40,29,49
118,50,23,46
118,59,20,39
119,46,18,55
119,55,12,52
119,52,25,42
119,51,22,46
119,54,19,46
119,48,25,47
119,51,21,47
120,57,20,44
120,50,27,43
120,57,20,43
120,52,18,51
120,55,17,48
120,48,25,47
120,54,22,44
121,54,27,40
121,48,23,50
121,55,16,50
121,53,24,45
121,49,28,45
121,49,29,43
121,51,26,44
122,52,24,46
122,50,26,47
122,47,27,49
122,52,23,49
122,56,12,54
122,52,30,41
122,56,23,43
123,56,19,48
123,62,11,50
123,56,23,45
123,55,23,46
123,56,21,46
123,52,30,41
123,53,21,49
123,56,28,39
123,46,24,54
124,57,18,50
124,58,18,48
124,52,25,47
124,53,23,48
124,57,19,48
124,53,30,42
124,50,30,44
125,55,22,48
125,52,25,48
126,56,23,47
126,57,23,47
126,50,24,52
126,48,30,49
126,54,30,43
127,48,27,52
127,59,20,49
127,50,26,51
127,53,26,48
128,51,28,49
128,56,21,52
128,61,18,49
129,57,22,50
129,57,24,48
130,54,28,48
130,61,27,42
131,55,21,56
131,57,30,44
132,54,28,50
133,56,32,45
133,54,29,50
135,57,28,50
136,59,23,54
136,58,28,50
137,58,28,51
137,56,32,49
138,54,34,51
139,60,23,56
139,60,31,48
141,57,31,54
141,62,28,52
143,58,35,50
144,59,30,55
